text,label
"Urgent! Your bank account has been blocked. Click here to verify your password http://fakebank-login.com",1
"Congratulations! You have won a free iPhone. Claim your prize now http://winner-prize.com",1
"Your account will be suspended unless you update your login details immediately",1
"Verify your password now to avoid account closure",1
"Dear user, unusual activity detected. Login here to secure your account http://secure-login-alert.com",1
"Limited time offer! Click this link to claim your reward",1
"Your PayPal account needs verification. Enter your details immediately",1
"Your email storage is full. Click here to upgrade your mailbox",1
"Security alert! Confirm your identity to continue using your account",1
"You have received a payment. Login to confirm your bank details",1
"Your package delivery failed. Click here to reschedule delivery",1
"Important notice: Your card has been locked due to suspicious activity",1
"Update your billing information now to prevent service interruption",1
"Final warning! Your account will be deleted today",1
"Click here to reset your password and unlock your account",1
"Dear customer, your invoice is overdue. Pay immediately using this link",1
"Your online banking session has expired. Login again to continue",1
"We detected multiple failed login attempts. Verify your account now",1
"Claim your lottery reward by submitting your personal information",1
"Your subscription payment failed. Update payment method urgently",1
"Hello, please attend the project meeting tomorrow at 10 AM",0
"Your assignment has been submitted successfully",0
"Please find attached the class notes for today's lecture",0
"Reminder: Your lab record submission is due next Monday",0
"The timetable for next semester has been uploaded to the portal",0
"Your order has been shipped and will arrive tomorrow",0
"Thank you for your email. I will get back to you soon",0
"Meeting minutes from yesterday's discussion are attached",0
"Your leave request has been approved by the department",0
"Please review the document and share your feedback",0
"Your exam hall ticket is available in the student portal",0
"The workshop registration has been confirmed",0
"Your electricity bill payment was successful",0
"The webinar link will be shared before the session starts",0
"Your library book renewal request has been accepted",0
"Please submit your project report before Friday",0
"Your appointment has been scheduled for 3 PM tomorrow",0
"The college bus route has been updated for this week",0
"Your password was changed successfully as requested",0
"Thank you for attending the training session",0
